,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
rikitea,pf,2017-12-09,2017-12-09 14:47:08,36.0,99.0,-23.12,-134.97,78.23,5.97
puerto ayora,ec,2017-12-09,2017-12-09 14:00:00,75.0,83.0,-0.74,-90.35,73.4,12.75
busselton,au,2017-12-09,2017-12-09 14:47:09,0.0,87.0,-33.65,115.33,72.02,12.01
cabo san lucas,mx,2017-12-09,2017-12-09 14:47:09,32.0,100.0,22.89,-109.91,76.16,15.82
bredasdorp,za,2017-12-09,2017-12-09 14:00:00,0.0,49.0,-34.53,20.04,71.6,17.22
anadyr,ru,2017-12-09,2017-12-09 14:00:00,90.0,84.0,64.75,177.48,8.6,4.47
ribeira grande,pt,2017-12-09,2017-12-09 14:30:00,20.0,83.0,38.52,-28.7,69.8,2.24
talnakh,ru,2017-12-09,2017-12-09 14:47:10,80.0,77.0,69.49,88.4,7.31,18.28
tiksi,ru,2017-12-09,2017-12-09 14:47:11,44.0,67.0,71.69,128.87,-14.74,3.85
huarmey,pe,2017-12-09,2017-12-09 14:47:11,36.0,77.0,-10.07,-78.15,68.42,3.4
sibolga,id,2017-12-09,2017-12-09 14:47:11,92.0,100.0,1.74,98.78,67.66,1.28
harlingen,nl,2017-12-09,2017-12-09 14:25:00,90.0,86.0,53.17,5.42,41.0,16.11
castro,cl,2017-12-09,2017-12-09 14:47:12,88.0,97.0,-42.47,-73.77,54.47,6.87
hermanus,za,2017-12-09,2017-12-09 14:47:12,0.0,53.0,-34.42,19.23,69.32,12.8
kinablangan,ph,2017-12-09,2017-12-09 14:47:12,88.0,100.0,7.69,126.55,81.61,1.28
corrente,br,2017-12-09,2017-12-09 14:47:13,56.0,57.0,-3.74,-43.34,91.19,11.01
okato,nz,2017-12-09,2017-12-09 14:47:13,88.0,96.0,-39.2,173.88,65.5,13.13
luanda,ao,2017-12-09,2017-12-09 14:00:00,75.0,62.0,-8.84,13.23,86.0,13.87
